
2024/01/10 (01:55:21) | ===> btop++ v.1.3.0
2024/01/21 (02:50:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/21 (02:52:56) | ===> btop++ v.1.3.0
2024/01/21 (02:52:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/21 (02:52:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/22 (14:23:54) | ===> btop++ v.1.3.0
2024/01/22 (14:23:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/22 (14:23:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/22 (19:47:49) | ===> btop++ v.1.3.0
2024/01/22 (19:47:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/22 (19:47:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/23 (15:06:43) | ===> btop++ v.1.3.0
2024/01/23 (15:06:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/23 (15:06:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/23 (15:07:50) | ===> btop++ v.1.3.0
2024/01/23 (15:07:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/23 (15:07:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/23 (23:36:01) | ===> btop++ v.1.3.0
2024/01/23 (23:36:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/23 (23:36:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/23 (23:36:48) | ===> btop++ v.1.3.0
2024/01/23 (23:36:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/23 (23:36:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/25 (13:16:47) | ===> btop++ v.1.3.0
2024/01/25 (13:16:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/25 (13:16:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/25 (20:00:22) | ===> btop++ v.1.3.0
2024/01/25 (20:00:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/25 (20:00:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/25 (21:25:02) | ===> btop++ v.1.3.0
2024/01/25 (21:25:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/25 (21:25:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/27 (01:29:20) | ===> btop++ v.1.3.0
2024/01/27 (01:29:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/27 (01:29:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/27 (03:15:14) | ===> btop++ v.1.3.0
2024/01/27 (03:15:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/27 (03:15:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/27 (03:23:32) | ===> btop++ v.1.3.0
2024/01/27 (03:23:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/27 (03:23:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/27 (03:24:17) | ===> btop++ v.1.3.0
2024/01/27 (03:24:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/27 (03:24:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/29 (01:14:12) | ===> btop++ v.1.3.0
2024/01/29 (01:14:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/29 (01:14:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/31 (06:58:37) | ===> btop++ v.1.3.0
2024/01/31 (06:58:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/31 (06:58:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/07 (15:39:15) | ===> btop++ v.1.3.0
2024/02/07 (15:39:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/07 (15:39:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/10 (22:10:16) | ===> btop++ v.1.3.0
2024/02/10 (22:10:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/10 (22:10:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/11 (10:24:00) | ===> btop++ v.1.3.0
2024/02/11 (10:24:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/11 (10:24:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/11 (10:27:20) | ===> btop++ v.1.3.0
2024/02/11 (10:27:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/11 (10:27:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/11 (10:40:31) | ===> btop++ v.1.3.0
2024/02/11 (10:40:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/11 (10:40:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/11 (10:45:24) | ===> btop++ v.1.3.0
2024/02/11 (10:45:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/11 (10:45:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/11 (10:48:35) | ===> btop++ v.1.3.0
2024/02/11 (10:48:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/11 (10:48:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/11 (11:17:23) | ===> btop++ v.1.3.0
2024/02/11 (11:17:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/11 (11:17:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/11 (22:06:36) | ===> btop++ v.1.3.0
2024/02/11 (22:06:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/11 (22:06:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/14 (21:02:25) | ===> btop++ v.1.3.0
2024/02/14 (21:02:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/14 (21:02:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/14 (21:04:44) | ===> btop++ v.1.3.0
2024/02/14 (21:04:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/14 (21:04:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/14 (23:00:49) | ===> btop++ v.1.3.0
2024/02/14 (23:00:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/14 (23:00:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/15 (05:59:37) | ===> btop++ v.1.3.0
2024/02/15 (05:59:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/15 (05:59:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/20 (08:06:50) | ===> btop++ v.1.3.0
2024/02/20 (08:06:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/20 (08:06:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/20 (08:07:35) | ===> btop++ v.1.3.0
2024/02/20 (08:07:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/20 (08:07:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/20 (08:30:17) | ===> btop++ v.1.3.0
2024/02/20 (08:30:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/20 (08:30:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/21 (12:00:22) | ===> btop++ v.1.3.2
2024/02/21 (12:00:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/21 (12:00:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/22 (00:18:24) | ===> btop++ v.1.3.2
2024/02/22 (00:18:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/22 (00:18:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/27 (20:50:47) | ===> btop++ v.1.3.2
2024/02/27 (20:50:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/27 (20:50:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/29 (15:58:10) | ===> btop++ v.1.3.2
2024/02/29 (15:58:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/29 (15:58:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/04 (14:39:54) | ===> btop++ v.1.3.2
2024/03/04 (14:39:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/04 (14:39:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/04 (20:15:57) | ===> btop++ v.1.3.2
2024/03/04 (20:15:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/04 (20:15:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/04 (20:37:08) | ===> btop++ v.1.3.2
2024/03/04 (20:37:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/04 (20:37:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/07 (10:59:06) | ===> btop++ v.1.3.2
2024/03/07 (10:59:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/07 (10:59:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/10 (09:41:39) | ===> btop++ v.1.3.2
2024/03/10 (09:41:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/10 (09:41:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/15 (21:09:10) | ===> btop++ v.1.3.2
2024/03/15 (21:09:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/15 (21:09:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/19 (00:12:24) | ===> btop++ v.1.3.2
2024/03/19 (00:12:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/19 (00:12:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/19 (09:06:34) | ===> btop++ v.1.3.2
2024/03/19 (09:06:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/19 (09:06:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/19 (10:45:27) | ===> btop++ v.1.3.2
2024/03/19 (10:45:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/19 (10:45:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/19 (10:46:05) | ===> btop++ v.1.3.2
2024/03/19 (10:46:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/19 (10:46:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/19 (10:48:38) | ===> btop++ v.1.3.2
2024/03/19 (10:48:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/19 (10:48:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/19 (10:50:51) | ===> btop++ v.1.3.2
2024/03/19 (10:50:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/19 (10:50:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/21 (21:58:08) | ===> btop++ v.1.3.2
2024/03/21 (21:58:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/21 (21:58:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/25 (15:57:28) | ===> btop++ v.1.3.2
2024/03/25 (15:57:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/25 (15:57:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/25 (15:57:39) | ===> btop++ v.1.3.2
2024/03/25 (15:57:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/25 (15:57:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/25 (15:58:30) | ===> btop++ v.1.3.2
2024/03/25 (15:58:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/25 (15:58:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/25 (21:38:32) | ===> btop++ v.1.3.2
2024/03/25 (21:38:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/25 (21:38:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/26 (12:00:59) | ===> btop++ v.1.3.2
2024/03/26 (12:00:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/26 (12:00:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/26 (16:04:45) | ===> btop++ v.1.3.2
2024/03/26 (16:04:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/26 (16:04:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/29 (15:17:38) | ===> btop++ v.1.3.2
2024/03/29 (15:17:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/29 (15:17:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/30 (18:39:17) | ===> btop++ v.1.3.2
2024/03/30 (18:39:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/30 (18:39:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/31 (08:41:52) | ===> btop++ v.1.3.2
2024/03/31 (08:41:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/31 (08:41:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/31 (19:08:26) | ===> btop++ v.1.3.2
2024/03/31 (19:08:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/31 (19:08:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/31 (19:09:08) | ===> btop++ v.1.3.2
2024/03/31 (19:09:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/31 (19:09:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/31 (19:09:19) | ===> btop++ v.1.3.2
2024/03/31 (19:09:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/31 (19:09:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/01 (19:13:18) | ===> btop++ v.1.3.2
2024/04/01 (19:13:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/01 (19:13:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/10 (16:04:11) | ===> btop++ v.1.3.2
2024/04/10 (16:04:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/10 (16:04:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/10 (16:08:53) | ===> btop++ v.1.3.2
2024/04/10 (16:08:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/10 (16:08:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/10 (16:17:15) | ===> btop++ v.1.3.2
2024/04/10 (16:17:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/10 (16:17:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/10 (17:55:51) | ===> btop++ v.1.3.2
2024/04/10 (17:55:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/10 (17:55:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/10 (19:45:38) | ===> btop++ v.1.3.2
2024/04/10 (19:45:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/10 (19:45:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/10 (20:00:09) | ===> btop++ v.1.3.2
2024/04/10 (20:00:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/10 (20:00:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/10 (20:44:38) | ===> btop++ v.1.3.2
2024/04/10 (20:44:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/10 (20:44:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/10 (20:45:00) | ===> btop++ v.1.3.2
2024/04/10 (20:45:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/10 (20:45:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/10 (21:25:44) | ===> btop++ v.1.3.2
2024/04/10 (21:25:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/10 (21:25:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/10 (21:34:59) | ===> btop++ v.1.3.2
2024/04/10 (21:34:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/10 (21:34:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/10 (21:41:57) | ===> btop++ v.1.3.2
2024/04/10 (21:41:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/10 (21:41:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/10 (21:42:23) | ===> btop++ v.1.3.2
2024/04/10 (21:42:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/10 (21:42:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/10 (21:45:54) | ===> btop++ v.1.3.2
2024/04/10 (21:45:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/10 (21:45:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/12 (21:51:14) | ===> btop++ v.1.3.2
2024/04/12 (21:51:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/12 (21:51:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/13 (08:11:41) | ===> btop++ v.1.3.2
2024/04/13 (08:11:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/13 (08:11:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/13 (08:40:07) | ===> btop++ v.1.3.2
2024/04/13 (08:40:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/13 (08:40:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/13 (23:15:09) | ===> btop++ v.1.3.2
2024/04/13 (23:15:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/13 (23:15:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/14 (08:21:19) | ===> btop++ v.1.3.2
2024/04/14 (08:21:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/14 (08:21:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/14 (20:33:46) | ===> btop++ v.1.3.2
2024/04/14 (20:33:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/14 (20:33:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/27 (13:07:34) | ===> btop++ v.1.3.2
2024/04/27 (13:07:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/27 (13:07:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/29 (00:01:07) | ===> btop++ v.1.3.2
2024/04/29 (00:01:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/29 (00:01:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/21 (09:20:10) | ===> btop++ v.1.3.2
2024/05/21 (09:20:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/21 (09:20:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/21 (09:55:51) | ===> btop++ v.1.3.2
2024/05/21 (09:55:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/21 (09:55:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/21 (13:44:56) | ===> btop++ v.1.3.2
2024/05/21 (13:44:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/21 (13:44:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/21 (13:47:44) | ===> btop++ v.1.3.2
2024/05/21 (13:47:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/21 (13:47:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/21 (22:00:43) | ===> btop++ v.1.3.2
2024/05/21 (22:00:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/21 (22:00:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/21 (22:06:21) | ===> btop++ v.1.3.2
2024/05/21 (22:06:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/21 (22:06:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/21 (22:20:58) | ===> btop++ v.1.3.2
2024/05/21 (22:20:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
